Organization,Project ID,IPC,Project Title,Project Description,Project Activities,Additional Information,Est Start Date,Est End Date,Budget,Cluster(s),Sectors,IA Sector(s),Cross-Cutting Issue(s),Implementing Organization(s),Partner Organization(s),Donor(s),Awardee Type,Number of People Reached (target),Calculation of Number of People Reached,Target Group(s),Country,_1st Administrative Level,_2nd Administrative Level,_3rd Administrative Level,City/Village,IDP/Refugee Camp,Latitude,Longitude,Contact Name,Contact Title,Contact E-mail,Website,Date Provided,Date Updated,Project Needs
Brother's Brother Foundation,6,BBF-HT-10-006,Medical Mission Trip # 2,Medical mission supplies,,,1/15/2010,3/26/2010,"$7,037 ",Health,,Health,,Friends of Haiti (PA),,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,7,BBF-HT-10-007,Medical Mission Trip # 3,Medical mission supplies,,,1/15/2010,4/18/2010,"$79,728 ",Health,,Health,,"Haitian-American Care, Inc. (HACI)",,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,8,BBF-HT-10-008,Medical Mission Trip # 4,Medical mission supplies,,,1/15/2010,3/25/2010,"$268,410 ",Health,,Health,,Hope for Haiti Foundation,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,9,BBF-HT-10-009,Air Shipment # 2,Medical mission supplies,,,1/17/2010,2/28/2010,"$1,356,913 ",Health,,Health,,Medical Benevolence Foundation (MBF),,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,10,BBF-HT-10-010,Medical Mission Trip # 5,Medical mission supplies,,,1/21/2010,3/4/2010,"$2,709,163 ",Health,,Health,,Medical Benevolence Foundation (MBF),,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,11,BBF-HT-10-011,Air Shipment # 3,Medical,,,1/27/2010,2/27/2010,"$6,150 ",Health,,Health,,Adventist Development and Relief Agency,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,12,BBF-HT-10-012,Container Shipment # 2,Hygiene,,,2/2/2010,3/2/2010,"$3,680 ",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Adventist Development and Relief Agency,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,13,BBF-HT-10-013,Medical Mission Trip # 6,Medical mission supplies,,,2/12/2010,3/12/2010,"$19,936 ",Health,,Health,,Our Lady of Mt. Carmel Church,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,14,BBF-HT-10-014,Medical Mission Trip # 7,Medical mission supplies,,,2/15/2010,3/15/2010,"$1,051 ",Health,,Health,,Allison Park Church,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,15,BBF-HT-10-015,Medical Mission Trip # 8,Medical mission supplies,,,2/17/2010,3/17/2010,"$50,750 ",Health,,Health,,Chapel at Crosspoint,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,16,BBF-HT-10-016,Medical Mission Trip # 9,Medical mission supplies,,,3/18/2010,4/18/2010,"$51,990 ",Health,,Health,,Aid for Haiti,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,17,BBF-HT-10-017,Medical Mission Trip # 10,Medical mission supplies,,,3/31/2010,4/30/2010,"$20,356 ",Health,,Health,,Spearfish UMC,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,18,BBF-HT-10-018,Container Shipment # 3,Shoes,,,4/8/2010,5/8/2010,"$105,650 ",Shelter and Non-Food Items,,"Shelter and Housing, Disaster Management",,Adventist Development and Relief Agency,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,19,BBF-HT-10-019,Container Shipment # 4,Shoes,,,4/8/2010,5/8/2010,"$94,840 ",Shelter and Non-Food Items,,"Shelter and Housing, Disaster Management",,Christian Aid Ministries,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,20,BBF-HT-10-020,Container Shipment # 5,Shoes,,,4/8/2010,5/8/2010,"$95,390 ",Shelter and Non-Food Items,,"Shelter and Housing, Disaster Management",,Christian Aid Ministries,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,21,BBF-HT-10-021,Medical Mission Trip # 11,Medical mission supplies,,,4/15/2010,5/15/2010,"$15,109 ",Health,,Health,,No Boundries International,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,22,BBF-HT-10-022,Medical Mission Trip # 12,Medical mission supplies,,,4/15/2010,5/15/2010,"$4,647 ",Health,,Health,,College Hill United Methodist Church,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,23,BBF-HT-10-023,Medical Mission Trip # 13,Medical mission supplies,,,4/15/2010,5/15/2010,"$44,190 ",Health,,Health,,"MAMA Project, Inc.",,Private donations,,,,,Haiti,,,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,24,BBF-HT-10-024,Medical Mission Trip # 14,Medical mission supplies,,,4/20/2010,5/20/2010,$415 ,Health,,Health,,Blountville Christian Church,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,25,BBF-HT-10-025,Medical Mission Trip # 15,Medical mission supplies,,,4/23/2010,5/23/2010,"$8,664 ",Health,,Health,,Branch Creek Community Church,,Private donations,,,,,Haiti,,,,,,0,0,,,,,10/5/2010,,
Brother's Brother Foundation,26,BBF-HT-10-026,Medical Mission Trip # 16,Medical mission supplies,,,5/12/2010,6/12/2010,"$32,280 ",Health,,Health,,Hope for Haiti Foundation,,Private donations,,,,,Haiti,,,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,27,BBF-HT-10-027,Container Shipment # 6,Medical supplies,,,6/11/2010,7/11/2010,,Health,,Health,, to Life from Medwish,,Private donations,,,,,Haiti,,,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,28,BBF-HT-10-028,Medical Mission Trip # 17,Medical mission supplies,,,6/16/2010,7/16/2010,"$49,220 ",Health,,Health,,"Haitian-American Care, Inc. (HACI)",,Private donations,,,,,Haiti,,,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,29,BBF-HT-10-029,Medical Mission Trip # 18,Medical mission supplies,,,6/16/2010,7/16/2010,"$21,815 ",Health,,Health,,Friends of Haiti (PA),,Private donations,,,,,Haiti,,,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,30,BBF-HT-10-030,Medical Mission Trip # 19,Medical mission supplies,,,6/18/2010,7/18/2010,"$5,770 ",Health,,Health,,Functional Literacy Ministry of Haiti,,Private donations,,,,,Haiti,,,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,31,BBF-HT-10-031,Container Shipment # 7,Medical supplies,,,6/25/2010,7/25/2010,,Health,,Health,,to Project Medishare from MedShare,,Private donations,,,,,Haiti,,,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,32,BBF-HT-10-032,Medical Mission Trip # 20,Medical mission supplies,,,7/7/2010,8/7/2010,"$4,606 ",Health,,Health,,Global Health Review,,Private donations,,,,,Haiti,,,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,33,BBF-HT-10-033,Medical Mission Trip # 21,Medical mission supplies,,,7/8/2010,8/8/2010,"$11,306 ",Health,,Health,,Providence UMC Haiti Medical Mission,,Private donations,,,,,Haiti,,,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,34,BBF-HT-10-034,Housing,Replacement housing- approximately 45 units,,,8/1/2010,7/31/2011,,Shelter and Non-Food Items,,"Shelter and Housing, Disaster Management",,Haitian Health Foundation,,Private donations,,,,,Haiti,Grand'Anse,Jérémie,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,35,BBF-HT-10-035,Food and Medicine,"Distribution of food packets, antibiotics and diabetic medicines",,,8/1/2010,7/31/2011,,"Nutrition, Health",,Health,,Haitian Health Foundation,,Private donations,,,,,Haiti,Grand'Anse,Jérémie,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,36,BBF-HT-10-036,School,"Rebuild school:  Freres de l'instruction chretienne Petionville, Tabarre Myles of Hope and George Marc",,,8/01/2010,12/31/2011,,Shelter and Non-Food Items,,"Shelter and Housing, Disaster Management",,Food for the Poor,,Private donations,,,,,Haiti,Ouest,Port-au-Prince,"Pétionville, Tabarre",,,,,,,,,10/5/2010,,
Brother's Brother Foundation,37,BBF-HT-10-037,Medical Mission Trip # 22,Medical mission supplies,,,8/10/2010,9/10/2010,$970 ,Health,,Health,,Liberty Chapel Church,,Private donations,,,,,Haiti,,,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,38,BBF-HT-10-038,Medical Mission Trip # 23,Medical mission supplies,,,8/10/2010,9/10/2010,"$1,867 ",Health,,Health,,First UMC of Coral Springs,,Private donations,,,,,Haiti,,,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,39,BBF-HT-10-039,Medical Mission Trip # 24,Medical mission supplies,,,8/11/2010,9/11/2010,"$7,145 ",Health,,Health,,The United Churches,,Private donations,,,,,Haiti,,,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,40,BBF-HT-10-040,Medical Mission Trip # 25,Medical mission supplies,,,8/12/2010,9/12/2010,"$7,397 ",Health,,Health,,Friends of Haiti,,Private donations,,,,,Haiti,,,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,41,BBF-HT-10-041,Medical Mission Trip # 26,Medical mission supplies,,,8/13/2010,9/13/2010,"$43,661 ",Health,,Health,,Holy Redeemer Haiti Medical Mission,,Private donations,,,,,Haiti,,,,,,,,,,,,10/5/2010,,
Brother's Brother Foundation,42,BBF-HT-10-042,Hospital,Reconstruct/restoration of Hospital of St. Croix,,,8/19/2010,,,Health,,Health,,Medical Benevolence Foundation (MBF),,Private donations,,,,,Haiti,Ouest,Léogâne,Léogâne,,Hopital Sainte Croix,18.5576,-72.5592,,,,,10/5/2010,,
Buddhist Tzu Chi Foundation,TZHT-01,TZU-HT-10-TZHT-01,Education # 1,Work for Food,Eglise Saint Alexandre ,,09/01/2010,12/31/2011,"$50,000",,"Selter, Sanition,Health,nutrition",Education,,Tzu Chi Foundation,N/A,Private donations,NA,351,,Affected population(s),Haiti,Ouest,Port-au-Prince,Port-au-Prince,"46, Rue Dehoux, Port-au-Prince",,,,Lesly Pierre,Coordinator,lespieere@yahoo.fr,,09/01/2010,09/01/2010,shipping/custome clearance
Buddhist Tzu Chi Foundation,TZHT-02,TZU-HT-10-TZHT-02,Job Training # 1,Work for Food,Collège EUDEC,,09/01/2010,12/31/2011,"$85,000",,"Selter, Sanition,Health,nutrition",Other,Livelihoods,Tzu Chi Foundation,N/A,Private donations,NA,295,,Affected population(s),Haiti,Ouest,Port-au-Prince,Port-au-Prince,"Rue Lafleur Ducheine, Port-au-Prince",,,,Lesly Pierre,Coordinator,tzehuei@us.tzuchi.org,,09/01/2010,09/01/2010,shipping/custome clearance
Buddhist Tzu Chi Foundation,TZHT-03,TZU-HT-10-TZHT-03,Education # 2,Work for Food,Collège Roussan Camille ,,09/01/2010,12/31/2011,"$95,000",,"Selter, Sanition,Health,nutrition",Education,,Tzu Chi Foundation,N/A,Private donations,NA,191,,Affected population(s),Haiti,Ouest,Port-au-Prince,Port-au-Prince,"128, Rue Capois, Port-au-Prince",,,,Lesly Pierre,Coordinator,tzehuei@us.tzuchi.org,,09/01/2010,09/01/2010,shipping/custome clearance
Buddhist Tzu Chi Foundation,TZHT-04,TZU-HT-10-TZHT-04,Education # 3,Work for Food,Champ de Mars,,10/15/2010,12/31/2011,"$100,000",,"Selter, Sanition,Health,nutrition",Education,,Tzu Chi Foundation,N/A,Private donations,NA,439,,Affected population(s),Haiti,Ouest,Port-au-Prince,Port-au-Prince,Port-au-Prince,,,,Lesly Pierre,Coordinator,tzehuei@us.tzuchi.org,,10/15/2010,10/15/2010,shipping/custome clearance
Buddhist Tzu Chi Foundation,TZHT-05,TZU-HT-10-TZHT-05,Job Training # 2,Work for Food,Stade National Sylvio Cator ,,11/01/2010,12/31/2011,"$95,000",,"Selter, Sanition,Health,nutrition",Other,Livelihoods,Tzu Chi Foundation,N/A,Private donations,NA,325,,Affected population(s),Haiti,Ouest,Port-au-Prince,Port-au-Prince,Port-au-Prince,,,,Lesly Pierre,Coordinator,lespieere@yahoo.fr,,11/01/2010,11/01/2010,shipping/custome clearance
Buddhist Tzu Chi Foundation,TZHT-06,TZU-HT-10-TZHT-06,Job Training # 3,Work for Food,Centre Prescolaire Carmen René Durocher ,,11/15/2010,12/31/2011,"$95,000",,"Selter, Sanition,Health,nutrition",Other,Livelihoods,Tzu Chi Foundation,N/A,Private donations,NA,411,,Affected population(s),Haiti,Ouest,Port-au-Prince,Port-au-Prince," Avenue Pouplard, Rue Sylvia # 51, Port-au-Prince",,,,Lesly Pierre,Coordinator,lespieere@yahoo.fr,,11/15/2010,11/15/2010,shipping/custome clearance
Buddhist Tzu Chi Foundation,TZHT-07,TZU-HT-10-TZHT-07,Job Training # 4,Work for Food,Foyer d’Amour pour la Protection des Petits Enfants d’Haïti ,,12/01/2010,12/31/2011,"$85,000",,"Selter, Sanition,Health,nutrition",Other,Livelihoods,Tzu Chi Foundation,N/A,Private donations,NA,329,,Affected population(s),Haiti,Ouest,Carrefour,Carrefour, Fontamara 27,,,,Lesly Pierre,Coordinator,tzehuei@us.tzuchi.org,,12/01/2010,12/01/2010,shipping/custome clearance
Buddhist Tzu Chi Foundation,TZHT-08,TZU-HT-10-TZHT-08,Education # 4,Work for Food,Foyer Ouvert des Gens Démunis de Fontamara ,,12/02/2010,12/31/2011,"$100,000",,"Selter, Sanition,Health,nutrition",Education,,Tzu Chi Foundation,N/A,Private donations,NA,311,,Affected population(s),Haiti,Ouest,Carrefour,Carrefour,Fontamara 47 Prolongé,,,,Lesly Pierre,Coordinator,tzehuei@us.tzuchi.org,,12/02/2010,12/02/2010,shipping/custome clearance
Buddhist Tzu Chi Foundation,TZHT-09,TZU-HT-10-TZHT-09,Education # 5,Work for Food,Maison d’Enfants pour la Foi (MEF),,12/11/2010,12/31/2011,"$88,000",,"Selter, Sanition,Health,nutrition",Education,,Tzu Chi Foundation,N/A,Private donations,NA,309,,Affected population(s),Haiti,Ouest,Carrefour,Carrefour,"Waney 87, Carrefour",,,,Lesly Pierre,Coordinator,tzehuei@us.tzuchi.org,,12/11/2010,12/11/2010,shipping/custome clearance
Buddhist Tzu Chi Foundation,TZHT-10,TZU-HT-10-TZHT-10,Education # 6,Work for Food,Foyer El Shadaï,,12/12/2010,12/31/2011,"$53,000",,"Selter, Sanition,Health,nutrition",Education,,Tzu Chi Foundation,N/A,Private donations,NA,219,,Affected population(s),Haiti,Ouest,Port-au-Prince,Port-au-Prince,"Acachon 32, Carrefour",,,,Lesly Pierre,Coordinator,tzehuei@us.tzuchi.org,,12/12/2010,12/12/2010,shipping/custome clearance
Buddhist Tzu Chi Foundation,TZHT-11,TZU-HT-10-TZHT-11,Job Training # 5,Work for Food,Camp d’hébergement à Corail  ,,12/15/2010,12/31/2011,"$95,000",,"Selter, Sanition,Health,nutrition",Other,Livelihoods,Tzu Chi Foundation,N/A,Private donations,NA,432,,Affected population(s),Haiti,Ouest,Port-au-Prince,Port-au-Prince, Zone Corail,,,,Lesly Pierre,Coordinator,tzehuei@us.tzuchi.org,,12/15/2010,12/15/2010,shipping/custome clearance
Buddhist Tzu Chi Foundation,TZHT-12,TZU-HT-10-TZHT-12,Job Training # 6,Work for Food,Camp d’hébergement à Route Neuve ,,12/15/2010,12/31/2011,"$100,000",,"Selter, Sanition,Health,nutrition",Other,Livelihoods,Tzu Chi Foundation,N/A,Private donations,NA,491,,Affected population(s),Haiti,Ouest,Port-au-Prince,Port-au-Prince," Zone Route Neuve, Route Nationale # 1",,,,Lesly Pierre,Coordinator,tzehuei@us.tzuchi.org,,12/15/2010,12/15/2010,shipping/custome clearance
Buddhist Tzu Chi Foundation,TZHT-13,TZU-HT-10-TZHT-13,Job Training # 7,Work for Food,Foyer de l’Espoir,,12/18/2010,12/31/2011,"$120,000",,"Selter, Sanition,Health,nutrition",Other,Livelihoods,Tzu Chi Foundation,N/A,Private donations,NA,279,,Affected population(s),Haiti,Ouest,Port-au-Prince,Port-au-Prince,Delmas 75,,,,Lesly Pierre,Coordinator,tzehuei@us.tzuchi.org,,12/18/2010,12/18/2010,shipping/custome clearance
Buddhist Tzu Chi Foundation,TZHT-14,TZU-HT-10-TZHT-14,Job Training # 8,Work for Food,Centre Saint Vincent ,,12/20/2010,12/31/2011,"$85,000",,"Selter, Sanition,Health,nutrition",Other,Livelihoods,Tzu Chi Foundation,N/A,Private donations,NA,157,,Affected population(s),Haiti,Ouest,Port-au-Prince,Port-au-Prince," Rue de l’Enterrement, Arrière Pénitencier National, Port-au-Prince",,,,Lesly Pierre,Coordinator,tzehuei@us.tzuchi.org,,12/20/2010,12/20/2010,shipping/custome clearance
CARE,1,CARE-HT-10-001,Tabarre,"March 17th, 2010: in Tabarre, 3817 persons (or 610 families) have been reached by CARE since January 16, 2010.",,,1/16/2010,,,,,,,,,,,,,,Haiti,Ouest,Port-au-Prince,Delmas,,,18.583333,-72.26666667,,,,,,,
